scope,metric,value,unit
base_oos,n_actions,754.0,actions
base_oos,mean_net_cost_0p25,0.536986768245697,ticks/action
base_oos,mean_net_cost_0p5,0.3491726219654083,ticks/action
base_oos,mean_net_cost_1p0,-0.02645578607916832,ticks/action
low_vol_posthoc,n_actions,318.0,actions
low_vol_posthoc,mean_net_cost_0p25,1.2577704191207886,ticks/action
low_vol_posthoc,mean_net_cost_0p5,1.069000244140625,ticks/action
low_vol_posthoc,mean_net_cost_1p0,0.6914595365524292,ticks/action
high_vol_posthoc,n_actions,435.0,actions
high_vol_posthoc,mean_net_cost_0p25,0.0036557603161782026,ticks/action
high_vol_posthoc,mean_net_cost_0p5,-0.1834930032491684,ticks/action
high_vol_posthoc,mean_net_cost_1p0,-0.5577905774116516,ticks/action
missing_volatility,n_actions,1.0,actions
missing_volatility,mean_net_cost_0p25,3.326763153076172,ticks/action
missing_volatility,mean_net_cost_0p5,3.1535239219665527,ticks/action
missing_volatility,mean_net_cost_1p0,2.8070452213287354,ticks/action
base_oos,positive_days_cost_0p5,3.0,days
base_oos,n_days,5.0,days
low_vol_posthoc,positive_days_cost_0p5,5.0,days
low_vol_posthoc,n_days,5.0,days
low_vol_posthoc,iid_bootstrap_ci90_low,0.4717672049999237,ticks/action
low_vol_posthoc,iid_bootstrap_ci90_high,1.653915458917618,ticks/action
low_vol_posthoc,iid_bootstrap_p_positive,0.9982,probability
low_vol_posthoc,market_cluster_ci90_low,0.19267980438525484,ticks/action
low_vol_posthoc,market_cluster_ci90_high,2.0035628032019086,ticks/action
low_vol_posthoc,market_cluster_p_positive,0.976,probability
low_vol_posthoc,diagnostic_max_drawdown,88.08151245117188,ticks
low_vol_posthoc,unique_markets,156.0,markets
low_vol_posthoc,max_actions_per_market,8.0,actions/market
